Date,Title,Description,Project,Phase,Themes,What we learned,Insights,Recommendations,Quotes
2020-11-19,Summarry of Staff Insighst 2020,Summarry of Staff Insighst 2020,FBS,,Language,Ralationships matter  SE staff are viewed as experts  Customers want digitisation of Admin  The product landscape is Ever-Evolving  Internal Processes cause a range of issues (Unecessary Overhead)  Our Systems limit us  Data is SE's lifeblood. We are not that consistent/good at data  Staff work with limited visibility,,Work on all these areas to improve them,
2020-11-11,FBS Homepage - Search changes,FBS Homepage - Search changes,FBS,,,Add phone number PROMINENTLY to teh homepage  More nav options needed on homepage  V2 Quick filter on homepage for Brexit & Coronavirus was well received,,Add Quick filter on homepage for Brexit & Coronavirus,
2020-10-01,SEP-About us,SEP-About us,FBS,,layout,,,,
2020-10-01,SEP-About us,SEP-About us,FBS,,layout,,,,
2020-09-21,FBS September Feedback,FBS September Feedback,FBS,,"Content"",""layout","Simple UI was appreciated    Photographs look a bit ""Stock Image""",,,
2020-09-06,Covid-19 Support,Covid-19 Support,FBS,,layout,,,,
2020-08-13,Hotel Recovery,Hotel Recovery,FBS,,"Content"",""Language","Some companies might not be there in march    If you aren’t clear what you are being asked before you begin its quite difficult to get your thoughts together “     It was very quick, that’s what we like nice and easy”",,,
2020-07-04,Coronavirus advice webpages,Coronavirus advice webpages,FBS,,Language,,,,
2020-06-19,Covid-19 guidance filters,Covid-19 guidance filters,FBS,,,,,,
2020-06-17,Enquiries portal,Enquiries portal,FBS,,layout,,,,
2020-06-17,enquiries portal -new partners to the FBS website were shown the portal prototype,enquiries portal -new partners to the FBS website were shown the portal prototype,FBS,,,prototype straightforward   enquiry notification   actions button confusing,,,
2020-06-16,Covid-19 guidance filters,Covid-19 guidance filters,FBS,,,,,,
2020-05-26,FBS customer journey,FBS customer journey,FBS,,"Language"",""layout",,,,
2020-05-20,"FBS challenages, opp, sector feedback","FBS challenages, opp, sector feedback",FBS,,,,,,
2020-05-15,FBS covid 19 support,FBS covid 19 support,FBS,,,,,,
2020-04-20,Coronavirus advice webpages-2nd wave,Coronavirus advice webpages-2nd wave,FBS,,Content,,,,
2020-03-30,FBS-Service-Filter,FBS-Service-Filter,FBS,,,,,,
2020-03-30,FBS-Covid-19,FBS-Covid-19,FBS,,,,,,
2020-03-27,FBS-Covid -19,FBS-Covid -19,FBS,,Language,,,,
2020-03-13,FBS-Events-Filter,FBS-Events-Filter,FBS,,,,,,
2020-02-25,SEP-keyword search,SEP-keyword search,FBS,,,,,,
2020-02-24,SEP-Waiting List,SEP-Waiting List,FBS,,layout,,,,
2020-02-21,SEP-Events date range,SEP-Events date range,FBS,,layout,,,,
2020-02-15,SEP-Map Icons,SEP-Map Icons,FBS,,layout,,,,
2020-02-14,SEP-About us,SEP-About us,FBS,,Language,,,,
2020-01-29,Anubhav Mittal,Anubhav Mittal,FBS,,layout,,,,
2020-01-20,SEP-Map Function,SEP-Map Function,FBS,,layout,,,,
2020-01-10,FBS October Feedback,FBS October Feedback,FBS,,"Content"",""Language"",""layout",Like the CoronaVirus link at the top of the page    Some people view it as a little dull    The menu structure could be simpler    The Intro could be shorter and sharper    People want a search box on teh homepage,People expect a search box on the home page,,
2020-01-04,Coronavirus Design prototypes,Coronavirus Design prototypes,FBS,,Language,,,,
